strain	year	country	state	rflp	lineage
OR293473|USA/IA/42004-14/2012|2012|USA_IA|1-84-4|L1C.1	2012	USA	IA	1-84-4	L1C.1
OR293474|USA/IA/43406-lg/2012|2012|USA_IA|1-4-4|L1C.1	2012	USA	IA	1-4-4	L1C.1
OR293475|USA/IA/44483-2/2012|2012|USA_IA|1-4-4|L1C.1	2012	USA	IA	1-4-4	L1C.1
OR293476|USA/IA/45537-65/2012|2012|USA_IA|1-4-4|L1C.1	2012	USA	IA	1-4-4	L1C.1
KT904263|PRRSV2-USA-AP1666-2013|2013|USA|1-4-4|L1C.1	2013	USA		1-4-4	L1C.1
MN499345|11585|2013|USA|1-4-4|L1C.1	2013	USA		1-4-4	L1C.1
OR293477|USA/IA/3703-1/2013|2013|USA_IA|1-4-4|L1C.1	2013	USA	IA	1-4-4	L1C.1
OR293478|USA/IA/23050-33/2013|2013|USA_IA|1-4-4|L1C.1	2013	USA	IA	1-4-4	L1C.1
OR293479|USA/IA/26853-1/2013|2013|USA_IA|1-4-4|L1C.1	2013	USA	IA	1-4-4	L1C.1
OR293480|USA/IA/27022-3/2013|2013|USA_IA|1-4-4|L1C.1	2013	USA	IA	1-4-4	L1C.1
OR293481|USA/IA/58790-143/2013|2013|USA_IA|1-4-4|L1C.1	2013	USA	IA	1-4-4	L1C.1
OR293482|USA/IA/282-1/2013|2013|USA_IA|1-4-4|L1C.1	2013	USA	IA	1-4-4	L1C.1
MN502573|12072|2014|USA|1-3-4|L1C.1	2014	USA		1-3-4	L1C.1
OR293483|USA/IA/43845-42/2014|2014|USA_IA|1-3-4|L1C.1	2014	USA	IA	1-3-4	L1C.1
MN499920|12484|2015|USA|1-4-4|L1C.1	2015	USA		1-4-4	L1C.1
OR293484|USA/PA/29044-2/2015|2015|USA_PA|1-8-4|L1C.1	2015	USA	PA	1-8-4	L1C.1
OR293485|USA/IA/82147-4/2015|2015|USA_IA|1-4-4|L1C.1	2015	USA	IA	1-4-4	L1C.1
OR293486|USA/IA/56809/2016|2016|USA_IA|1-4-4|L1C.1	2016	USA	IA	1-4-4	L1C.1
MN499035|14176|2017|USA|1-3-4|L1C.1	2017	USA		1-3-4	L1C.1
MN501627|14173|2017|USA|1-3-4|L1C.1	2017	USA		1-3-4	L1C.1
OR293487|USA/MI/31191-A/2016|2016|USA_MI|1-4-4|L1C.2	2016	USA	MI	1-4-4	L1C.2
OR293488|USA/PA/35557-A/2016|2016|USA_PA|1-4-4|L1C.2	2016	USA	PA	1-4-4	L1C.2
OR293489|USA/IA/64382-1/2017|2017|USA_IA|1-2-4|L1C.2	2017	USA	IA	1-2-4	L1C.2
OR293490|USA/AR/12086-4/2018|2018|USA_AR|1-2-4|L1C.2	2018	USA	AR	1-2-4	L1C.2
OR293491|USA/IA/79750-1/2019|2019|USA_IA|1-2-4|L1C.2	2019	USA	IA	1-2-4	L1C.2
OR293492|USA/OK/26303-GB/2020|2020|USA_OK|1-2-4|L1C.2	2020	USA	OK	1-2-4	L1C.2
OR293493|USA/SD/28687-GA/2020|2020|USA_SD|1-2-4|L1C.2	2020	USA	SD	1-2-4	L1C.2
OR293494|USA/IA/91791-1/2020|2020|USA_IA|1-2-4|L1C.2	2020	USA	IA	1-2-4	L1C.2
OR293495|USA/IA/95227-1/2020|2020|USA_IA|1-2-4|L1C.2	2020	USA	IA	1-2-4	L1C.2
OR293496|USA/MI/96487-GB/2020|2020|USA_MI|1-2-4|L1C.2	2020	USA	MI	1-2-4	L1C.2
OR293497|USA/IA/25668-GA/2021|2021|USA_IA|1-2-4|L1C.2	2021	USA	IA	1-2-4	L1C.2
OR293498|USA/NE/28578-GA/2021|2021|USA_NE|1-17-4|L1C.2	2021	USA	NE	1-17-4	L1C.2
OR293499|USA/IA/31874-1/2021|2021|USA_IA|1-2-4|L1C.2	2021	USA	IA	1-2-4	L1C.2
OR293500|USA/MO/44379-GA/2021|2021|USA_MO|1-2-4|L1C.2	2021	USA	MO	1-2-4	L1C.2
OR293501|USA/MN/91911-1/2021|2021|USA_MN|1-4-2|L1C.2	2021	USA	MN	1-4-2	L1C.2
OR293502|USA/IA/98957-GA/2021|2021|USA_IA|1-2-4|L1C.2	2021	USA	IA	1-2-4	L1C.2
OR293503|USA/CO/103067-GE/2021|2021|USA_CO|1-2-4|L1C.2	2021	USA	CO	1-2-4	L1C.2
OR293504|USA/CO/103664-2/2021|2021|USA_CO|1-2-4|L1C.2	2021	USA	CO	1-2-4	L1C.2
OR293505|USA/IA/106792-1/2021|2021|USA_IA|1-2-4|L1C.2	2021	USA	IA	1-2-4	L1C.2
OR293506|USA/IA/28030-GD/2015|2015|USA_IA|1-3-4|L1C.3	2015	USA	IA	1-3-4	L1C.3
OR293507|USA/IA/46945/2016|2016|USA_IA|1-3-4|L1C.3	2016	USA	IA	1-3-4	L1C.3
OR293508|USA/IA/12729-A/2016|2016|USA_IA|1-3-2|L1C.3	2016	USA	IA	1-3-2	L1C.3
OR293509|USA/OH/19966-2/2016|2016|USA_OH|1-3-4|L1C.3	2016	USA	OH	1-3-4	L1C.3
OR293510|USA/MN/52206-GA/2016|2016|USA_MN|1-3-4|L1C.3	2016	USA	MN	1-3-4	L1C.3
OR293511|USA/IA/61229-1/2016|2016|USA_IA|1-3-4|L1C.3	2016	USA	IA	1-3-4	L1C.3
OR293512|USA/IA/69465-3/2016|2016|USA_IA|1-4-4|L1C.3	2016	USA	IA	1-4-4	L1C.3
OR293513|USA/IA/84582/2017|2017|USA_IA|1-3-2|L1C.3	2017	USA	IA	1-3-2	L1C.3
OR293514|USA/IA/1809-2/2017|2017|USA_IA|1-3-4|L1C.3	2017	USA	IA	1-3-4	L1C.3
OR293515|USA/IA/21778-1/2017|2017|USA_IA|1-3-4|L1C.3	2017	USA	IA	1-3-4	L1C.3
OR293516|USA/IN/23501-GB/2017|2017|USA_IN|1-3-4|L1C.3	2017	USA	IN	1-3-4	L1C.3
OR293517|USA/MN/58657-GA/2017|2017|USA_MN|1-3-2|L1C.3	2017	USA	MN	1-3-2	L1C.3
OR293518|USA/IA/78803-GB/2017|2017|USA_IA|1-3-2|L1C.3	2017	USA	IA	1-3-2	L1C.3
OR293519|USA/IA/86335GA/2017|2017|USA_IA|1-4-4|L1C.3	2017	USA	IA	1-4-4	L1C.3
OR293520|USA/IA/77742-1/2018|2018|USA_IA|1-3-4|L1C.3	2018	USA	IA	1-3-4	L1C.3
OR293521|USA/IA/46932-1/2019|2019|USA_IA|1-3-3|L1C.3	2019	USA	IA	1-3-3	L1C.3
OR293522|USA/PA/89311-C/2019|2019|USA_PA|1-3-4|L1C.3	2019	USA	PA	1-3-4	L1C.3
OR293523|USA/IA/2529-21/2020|2020|USA_IA|1-3-2|L1C.3	2020	USA	IA	1-3-2	L1C.3
OR293524|USA/IA/34605-GA/2020|2020|USA_IA|1-4-4|L1C.3	2020	USA	IA	1-4-4	L1C.3
OR293525|USA/IA/83182-GA/2020|2020|USA_IA|1-3-2|L1C.3	2020	USA	IA	1-3-2	L1C.3
OR293526|USA/IA/93736-A/2020|2020|USA_IA|1-1-2|L1C.3	2020	USA	IA	1-1-2	L1C.3
OR293527|USA/IA/96675-GE/2020|2020|USA_IA|1-4-4|L1C.3	2020	USA	IA	1-4-4	L1C.3
OR293528|USA/IA/68-GA/2021|2021|USA_IA|1-3-2|L1C.3	2021	USA	IA	1-3-2	L1C.3
OR293529|USA/MO/35449-1/2021|2021|USA_MO|1-3-2|L1C.3	2021	USA	MO	1-3-2	L1C.3
OR293530|USA/NE/42424-5/2021|2021|USA_NE|1-3-2|L1C.3	2021	USA	NE	1-3-2	L1C.3
OR293531|USA/IA/59107-GB/2021|2021|USA_IA|1-12-1|L1C.3	2021	USA	IA	1-12-1	L1C.3
OR293532|USA/IA/60424-GA/2021|2021|USA_IA|1-4-3|L1C.3	2021	USA	IA	1-4-3	L1C.3
OR293533|USA/IA/89908-1/2021|2021|USA_IA|1-3-2|L1C.3	2021	USA	IA	1-3-2	L1C.3
OR293534|USA/IA/101911-1/2021|2021|USA_IA|1-8-4|L1C.3	2021	USA	IA	1-8-4	L1C.3
OR293535|USA/IA/112847-GA/2021|2021|USA_IA|1-3-2|L1C.3	2021	USA	IA	1-3-2	L1C.3
MN500980|10185|2009|USA|1-4-4|L1C.4	2009	USA		1-4-4	L1C.4
KT902719|PRRSV2-USA-AP359-2010|2010|USA|1-3-4|L1C.4	2010	USA		1-3-4	L1C.4
KT902997|PRRSV2-USA-AP3025-2010|2010|USA|1-4-4|L1C.4	2010	USA		1-4-4	L1C.4
MN499723|10275|2010|USA|1-4-4|L1C.4	2010	USA		1-4-4	L1C.4
MN501131|13738|2010|USA|1-4-4|L1C.4	2010	USA		1-4-4	L1C.4
MN501316|13749|2010|USA|1-4-4|L1C.4	2010	USA		1-4-4	L1C.4
MN501379|10471|2010|USA|1-4-4|L1C.4	2010	USA		1-4-4	L1C.4
MN502613|10587|2010|USA|1-8-4|L1C.4	2010	USA		1-8-4	L1C.4
KT903074|PRRSV2-USA-AP656-2011|2011|USA|1-4-2|L1C.4	2011	USA		1-4-2	L1C.4
MN501836|10675|2011|USA|1-3-4|L1C.4	2011	USA		1-3-4	L1C.4
MN502579|10978|2011|USA|1-4-4|L1C.4	2011	USA		1-4-4	L1C.4
OR293536|USA/VA/33932/2011|2011|USA_VA|1-4-4|L1C.4	2011	USA	VA	1-4-4	L1C.4
OR293537|USA/IA/3335-97/2011|2011|USA_IA|1-4-4|L1C.4	2011	USA	IA	1-4-4	L1C.4
OR293538|USA/PA/22307-B/2011|2011|USA_PA|1-4-4|L1C.4	2011	USA	PA	1-4-4	L1C.4
KT903592|PRRSV2-USA-AP1148-2012|2012|USA|1-4-4|L1C.4	2012	USA		1-4-4	L1C.4
KT903699|PRRSV2-USA-AP1255-2012|2012|USA|1-4-4|L1C.4	2012	USA		1-4-4	L1C.4
KT903753|PRRSV2-USA-AP1309-2012|2012|USA|1-4-4|L1C.4	2012	USA		1-4-4	L1C.4
KT903850|PRRSV2-USA-AP1407-2012|2012|USA|1-4-4|L1C.4	2012	USA		1-4-4	L1C.4
MN499371|11049|2012|USA|1-4-4|L1C.4	2012	USA		1-4-4	L1C.4
MN499899|11082|2012|USA|1-4-3|L1C.4	2012	USA		1-4-3	L1C.4
MN501842|11306|2012|USA|1-4-4|L1C.4	2012	USA		1-4-4	L1C.4
OR293539|USA/IA/18529-9/2012|2012|USA_IA|1-4-4|L1C.4	2012	USA	IA	1-4-4	L1C.4
MN498308|11460|2013|USA|1-4-4|L1C.4	2013	USA		1-4-4	L1C.4
MN500672|11472|2013|USA|1-3-4|L1C.4	2013	USA		1-3-4	L1C.4
MN502107|11531|2013|USA|1-4-4|L1C.4	2013	USA		1-4-4	L1C.4
OR293540|USA/IA/17773-1/2013|2013|USA_IA|1-4-3|L1C.4	2013	USA	IA	1-4-3	L1C.4
OR293541|USA/MN/75841-GA/2020|2020|USA_MN|1-4-4|L1C.5	2020	USA	MN	1-4-4	L1C.5
OR293542|USA/IA/6014-GA/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293543|USA/IA/7748-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293544|USA/IA/28947-2/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293545|USA/IA/29311-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293546|USA/MN/29672-GA/2021|2021|USA_MN|1-4-4|L1C.5	2021	USA	MN	1-4-4	L1C.5
OR293547|USA/IA/41002-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293548|USA/IA/42180-GA/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293549|USA/IA/43336-GA/2021|2021|USA_IA|1-7-4|L1C.5	2021	USA	IA	1-7-4	L1C.5
OR293550|USA/MN/48316-9/2021|2021|USA_MN|1-4-4|L1C.5	2021	USA	MN	1-4-4	L1C.5
OR293551|USA/IA/49635-GA/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293552|USA/IA/50961-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293553|USA/IA/54326-GA/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293554|USA/IA/56243-3/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293555|USA/IA/59955-GA/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293556|USA/IA/60429-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293557|USA/IA/61147-GA/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293558|USA/IA/61690-GA/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293559|USA/IA/63900-GF/2021|2021|USA_IA|1-4-2|L1C.5	2021	USA	IA	1-4-2	L1C.5
OR293560|USA/IA/66013-2/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293561|USA/IA/76753-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293562|USA/IA/80507-2/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293563|USA/IA/90519-22/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293564|USA/IA/91883-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293565|USA/IA/96924-1/2021|2021|USA_IA|1-3-4|L1C.5	2021	USA	IA	1-3-4	L1C.5
OR293566|USA/IA/97397-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293567|USA/IA/97626-1/2021|2021|USA_IA|1-25-4|L1C.5	2021	USA	IA	1-25-4	L1C.5
OR293568|USA/IA/109001-GA/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293569|USA/IA/111553-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293570|USA/IA/113258-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
JN654459|NADC30|2008|USA|1-4-4|L1C-unclade	2008	USA		1-4-4	L1C-unclade
OR293571|USA/IA/28506/2010|2010|USA_IA|1-4-4|L1C-unclade	2010	USA	IA	1-4-4	L1C-unclade
OR293572|USA/MN/31896/2010|2010|USA_MN|1-4-4|L1C-unclade	2010	USA	MN	1-4-4	L1C-unclade
OR293573|USA/IA/1346-B/2010|2010|USA_IA|1-4-3|L1C-unclade	2010	USA	IA	1-4-3	L1C-unclade
OR293574|USA/IA/22244/2011|2011|USA_IA|1-4-4|L1C-unclade	2011	USA	IA	1-4-4	L1C-unclade
OR293575|USA/IA/38127/2011|2011|USA_IA|1-4-4|L1C-unclade	2011	USA	IA	1-4-4	L1C-unclade
OR293576|USA/IA/23650-4/2011|2011|USA_IA|1-4-4|L1C-unclade	2011	USA	IA	1-4-4	L1C-unclade
OR293577|USA/IA/40370-34/2011|2011|USA_IA|1-4-4|L1C-unclade	2011	USA	IA	1-4-4	L1C-unclade
OR293578|USA/IA/15201-D/2012|2012|USA_IA|1-4-4|L1C-unclade	2012	USA	IA	1-4-4	L1C-unclade
KP283402|Minnesota17B|2013|USA|1-4-4|L1C-unclade	2013	USA		1-4-4	L1C-unclade
KU502831|PRRSV2-USA-LS1362-2013|2013|USA|1-4-2|L1C-unclade	2013	USA		1-4-2	L1C-unclade
OR293579|USA/IA/7831-A/2013|2013|USA_IA|1-2-4|L1C-unclade	2013	USA	IA	1-2-4	L1C-unclade
OR293580|USA/IL/8005-A/2013|2013|USA_IL|1-4-4|L1C-unclade	2013	USA	IL	1-4-4	L1C-unclade
OR293581|USA/CO/10781/2013|2013|USA_CO|1-4-2|L1C-unclade	2013	USA	CO	1-4-2	L1C-unclade
OR293582|USA/IA/6434-F/2013|2013|USA_IA|1-4-4|L1C-unclade	2013	USA	IA	1-4-4	L1C-unclade
OR293583|USA/IA/46845-33/2013|2013|USA_IA|1-4-4|L1C-unclade	2013	USA	IA	1-4-4	L1C-unclade
KU556989|HENSP1|2014|China|1-4-3|L1C-unclade	2014	China		1-4-3	L1C-unclade
