strain	year	country	state	rflp	lineage
KR612143|110901-GD-SWKF|2011|China|1-3-2|L3	2011	China		1-3-2	L3
KC618029|GXLA07-2012|2012|China|1-3-4|L3	2012	China		1-3-4	L3
KC771271|755R|2012|Taiwan|1-4-1|L3	2012	Taiwan		1-4-1	L3
KP998407|HC120821-SH2|2012|Taiwan|1-4-3|L3	2012	Taiwan		1-4-3	L3
KR018770|130807-GD-SHC|2013|China|1-3-2|L3	2013	China		1-3-2	L3
KM377855|FJ-QZzpx-2014|2014|China|1-3-4|L3	2014	China		1-3-4	L3
KR018779|140107-GD-SHC|2014|China|1-3-2|L3	2014	China		1-3-2	L3
KY373215|HiNZWQ|2014|China|1-3-2|L3	2014	China		1-3-2	L3
MF133293|FZFQ141016|2014|China|1-37-2|L3	2014	China		1-37-2	L3
MG972962|S5|2014|China|1-4-4|L3	2014	China		1-4-4	L3
MH713856|GD1404GP5|2014|China|1-5-1|L3	2014	China		1-5-1	L3
MK291408|103-912-12|2014|Taiwan|1-4-4|L3	2014	Taiwan		1-4-4	L3
KX077651|GX01-2015|2015|China|1-3-2|L3	2015	China		1-3-2	L3
MK158138|104-1615-2015-KS|2015|Taiwan|1-8-2|L3	2015	Taiwan		1-8-2	L3
MK158140|104-1614-2015-KS|2015|Taiwan|1-8-4|L3	2015	Taiwan		1-8-4	L3
KY508625|GDMM1|2016|China|1-3-4|L3	2016	China		1-3-4	L3
MG926571|JXFZ-1|2016|China|1-3-2|L3	2016	China		1-3-2	L3
MH174985|ZJnb16-1|2016|China|1-3-1|L3	2016	China		1-3-1	L3
MH174986|ZJnb16-2|2016|China|1-3-1|L3	2016	China		1-3-1	L3
MH713813|GDYJYFB1gp5|2016|China|1-4-2|L3	2016	China		1-4-2	L3
MH713849|GDKPSTgp5|2016|China|1-3-1|L3	2016	China		1-3-1	L3
MH713853|FJ-2016-0106|2016|China|1-3-4|L3	2016	China		1-3-4	L3
MN331662|080-2016-PT|2016|Taiwan|1-55-4|L3	2016	Taiwan		1-55-4	L3
MN331663|187-2016-TN|2016|Taiwan|1-55-4|L3	2016	Taiwan		1-55-4	L3
MH324400|SCya17|2017|China|1-10-2|L3	2017	China		1-10-2	L3
MH713808|GD-21|2017|China|1-4-2|L3	2017	China		1-4-2	L3
MH713819|bs-gp5-1|2017|China|1-3-2|L3	2017	China		1-3-2	L3
MH713821|bs-gp5-4|2017|China|1-3-2|L3	2017	China		1-3-2	L3
MK158112|172719-2017-Taiwan|2017|Taiwan|1-4-4|L3	2017	Taiwan		1-4-4	L3
MK158119|17-3391-2017-Taiwan|2017|Taiwan|1-4-4|L3	2017	Taiwan		1-4-4	L3
MN331677|2964-2017-YL|2017|Taiwan|1-10-2|L3	2017	Taiwan		1-10-2	L3
MN331680|3391-2017-NT|2017|Taiwan|1-4-4|L3	2017	Taiwan		1-4-4	L3
MN331687|4436-2017-TC|2017|Taiwan|1-4-2|L3	2017	Taiwan		1-4-2	L3
MK507137|PRRSV2-CN-N9083-2018|2018|China|1-10-4|L3	2018	China		1-10-4	L3
MN331681|3433-2018-YL|2018|Taiwan|1-4-1|L3	2018	Taiwan		1-4-1	L3
MN137948|HENLY-11|2019|China|1-3-4|L3	2019	China		1-3-4	L3
AB546102|Aomori08-1|2008|Japan|1-4-4|L4	2008	Japan		1-4-4	L4
AB546105|Miyagi08-2|2008|Japan|1-16-4|L4	2008	Japan		1-16-4	L4
AB546106|Miyagi08-3|2008|Japan|1-2-4|L4	2008	Japan		1-2-4	L4
AB546109|Ibaraki08-1|2008|Japan|1-2-2|L4	2008	Japan		1-2-2	L4
AB546110|Ibaraki08-2|2008|Japan|1-2-4|L4	2008	Japan		1-2-4	L4
AB546112|Ibaraki08-4|2008|Japan|1-2-4|L4	2008	Japan		1-2-4	L4
AB546113|Ibaraki08-5|2008|Japan|1-2-4|L4	2008	Japan		1-2-4	L4
AB546114|Ibaraki08-6|2008|Japan|1-30-2|L4	2008	Japan		1-30-2	L4
AB811788|Yamagata10-7|2010|Japan|1-4-4|L4	2010	Japan		1-4-4	L4
AB811789|Aomori10-5|2010|Japan|1-4-4|L4	2010	Japan		1-4-4	L4
AB023782|Japan|N/A|Japan|1-4-4|L4	N/A	Japan		1-4-4	L4
AB175692|Jfs1|N/A|Japan|1-2-4|L4	N/A	Japan		1-2-4	L4
AB175693|Jib1|N/A|Japan|1-4-4|L4	N/A	Japan		1-4-4	L4
AB175696|Jiw1|N/A|Japan|1-4-4|L4	N/A	Japan		1-4-4	L4
AB175698|Jnt1|N/A|Japan|1-4-4|L4	N/A	Japan		1-4-4	L4
AB175700|Jsa1|N/A|Japan|1-4-4|L4	N/A	Japan		1-4-4	L4
AB175705|Jsz3|N/A|Japan|1-2-4|L4	N/A	Japan		1-2-4	L4
AB175714|Jyt3|N/A|Japan|1-2-3|L4	N/A	Japan		1-2-3	L4
AB175716|Aomori-93|N/A|Japan|1-4-4|L4	N/A	Japan		1-4-4	L4
AB175717|Chiba-14|N/A|Japan|1-4-4|L4	N/A	Japan		1-4-4	L4
AB175721|Gu922M|N/A|Japan|1-4-4|L4	N/A	Japan		1-4-4	L4
AB175722|Ibaraki-3|N/A|Japan|1-4-4|L4	N/A	Japan		1-4-4	L4
D45852|EDRD-1|N/A|Japan|1-4-4|L4	N/A	Japan		1-4-4	L4
EU756064|PRRSV0000004558|1999|USA|2-5-2|L5A	1999	USA		2-5-2	L5A
DQ475320|PRRSV0000711|2001|USA_NC|2-5-2|L5A	2001	USA	NC	2-5-2	L5A
DQ475475|PRRSV0000907|2001|USA_MO|2-6-2|L5A	2001	USA	MO	2-6-2	L5A
EU756953|PRRSV0000006293|2001|USA_NC|2-71-2|L5A	2001	USA	NC	2-71-2	L5A
EU758490|PRRSV0000008418|2006|USA_MO|2-5-2|L5A	2006	USA	MO	2-5-2	L5A
KU504155|PRRSV2-USA-NP36-2006|2006|USA|2-5-2|L5A	2006	USA		2-5-2	L5A
EU759633|PRRSV2000000473|2007|USA_MN|2-5-2|L5A	2007	USA	MN	2-5-2	L5A
KU504161|PRRSV2-USA-NP43-2008|2008|USA|2-5-2|L5A	2008	USA		2-5-2	L5A
OR293739|USA/IA/35478/2008|2008|USA_IA|2-5-2|L5A	2008	USA	IA	2-5-2	L5A
KX462792|A2MC2|2012|USA|2-5-2|L5A	2012	USA		2-5-2	L5A
OR293740|USA/IN/1016-B/2012|2012|USA_IN|2-5-2|L5A	2012	USA	IN	2-5-2	L5A
OR293741|USA/UT/6792-9/2012|2012|USA_UT|2-5-2|L5A	2012	USA	UT	2-5-2	L5A
OR293742|USA/IA/8638-43/2012|2012|USA_IA|2-5-2|L5A	2012	USA	IA	2-5-2	L5A
OR293743|USA/IA/45777-8/2012|2012|USA_IA|2-5-2|L5A	2012	USA	IA	2-5-2	L5A
OR293744|USA/IL/54907-D/2012|2012|USA_IL|2-5-2|L5A	2012	USA	IL	2-5-2	L5A
KT904278|PRRSV2-USA-AP1681-2013|2013|USA|2-5-2|L5A	2013	USA		2-5-2	L5A
OR293745|USA/IA/5799-B/2013|2013|USA_IA|2-5-2|L5A	2013	USA	IA	2-5-2	L5A
OR293746|USA/IN/14554-4/2013|2013|USA_IN|2-5-2|L5A	2013	USA	IN	2-5-2	L5A
OR293747|USA/IA/17058-96/2013|2013|USA_IA|2-5-2|L5A	2013	USA	IA	2-5-2	L5A
OR293748|USA/IA/39874-2/2013|2013|USA_IA|2-5-2|L5A	2013	USA	IA	2-5-2	L5A
OR293749|USA/CO/47059-2/2013|2013|USA_CO|2-5-2|L5A	2013	USA	CO	2-5-2	L5A
OR293750|USA/IA/24938/2014|2014|USA_IA|2-5-2|L5A	2014	USA	IA	2-5-2	L5A
OR293751|USA/IA/26054-2/2014|2014|USA_IA|2-5-2|L5A	2014	USA	IA	2-5-2	L5A
OR293752|USA/KS/40099-13/2014|2014|USA_KS|2-5-2|L5A	2014	USA	KS	2-5-2	L5A
OR293753|Mexico/46432-3/2015|2015|Mexico|2-5-2|L5A	2015	Mexico		2-5-2	L5A
OR293754|USA/IL/14582/2016|2016|USA_IL|2-5-2|L5A	2016	USA	IL	2-5-2	L5A
OR293755|USA/IA/43985-1/2016|2016|USA_IA|2-5-2|L5A	2016	USA	IA	2-5-2	L5A
OR293756|USA/MO/67040-3/2016|2016|USA_MO|2-5-2|L5A	2016	USA	MO	2-5-2	L5A
OR293757|USA/MO/43019-GA/2017|2017|USA_MO|2-5-2|L5A	2017	USA	MO	2-5-2	L5A
OR293758|USA/CO/45066-1/2017|2017|USA_CO|2-5-2|L5A	2017	USA	CO	2-5-2	L5A
OR293759|USA/KS/60753-GF/2017|2017|USA_KS|2-5-2|L5A	2017	USA	KS	2-5-2	L5A
OR293760|USA/NC/79925-GA/2017|2017|USA_NC|2-5-2|L5A	2017	USA	NC	2-5-2	L5A
OR293761|USA/IA/19811-2/2018|2018|USA_IA|2-5-2|L5A	2018	USA	IA	2-5-2	L5A
OR293762|Mexico/8972-1/2019|2019|Mexico|2-5-2|L5A	2019	Mexico		2-5-2	L5A
OR293763|Mexico/83554-1/2019|2019|Mexico|2-5-2|L5A	2019	Mexico		2-5-2	L5A
OR293764|USA/OK/89703-1/2019|2019|USA_OK|2-5-2|L5A	2019	USA	OK	2-5-2	L5A
OR293765|USA/IA/92957-GB/2019|2019|USA_IA|2-5-2|L5A	2019	USA	IA	2-5-2	L5A
OR293766|USA/NE/93403-GA/2019|2019|USA_NE|2-5-2|L5A	2019	USA	NE	2-5-2	L5A
OR293767|USA/IA/2915-1/2020|2020|USA_IA|2-5-2|L5A	2020	USA	IA	2-5-2	L5A
OR293768|USA/IA/37611-GA/2020|2020|USA_IA|2-5-2|L5A	2020	USA	IA	2-5-2	L5A
OR293769|USA/IA/37617-6/2020|2020|USA_IA|2-5-2|L5A	2020	USA	IA	2-5-2	L5A
OR293770|USA/NE/20652-GD/2020|2020|USA_NE|2-5-2|L5A	2020	USA	NE	2-5-2	L5A
OR293771|USA/MO/19203-GA/2021|2021|USA_MO|2-5-2|L5A	2021	USA	MO	2-5-2	L5A
OR293772|USA/IL/59813-1/2021|2021|USA_IL|2-5-2|L5A	2021	USA	IL	2-5-2	L5A
OR293773|USA/MO/63075-GI/2021|2021|USA_MO|2-5-2|L5A	2021	USA	MO	2-5-2	L5A
OR293774|USA/IA/64782-1/2021|2021|USA_IA|2-5-2|L5A	2021	USA	IA	2-5-2	L5A
AF066183|RespPRRS vaccine|N/A|null|2-5-2|L5A	N/A	null		2-5-2	L5A
DQ477615|PRRSV0003570|1999|USA|1-4-2|L5B	1999	USA		1-4-2	L5B
EU556155|1999-15286|1999|USA|1-4-2|L5B	1999	USA		1-4-2	L5B
EU556156|1999-17076|1999|USA|1-4-2|L5B	1999	USA		1-4-2	L5B
EU755913|PRRSV0000003504|1999|USA_SD|1-4-2|L5B	1999	USA	SD	1-4-2	L5B
DQ475126|PRRSV0000468|2000|USA_MN|1-4-2|L5B	2000	USA	MN	1-4-2	L5B
DQ475254|PRRSV0000635|2000|USA|1-4-2|L5B	2000	USA		1-4-2	L5B
KY348853|3805-00|2000|USA|1-4-2|L5B	2000	USA		1-4-2	L5B
DQ475373|PRRSV0000777|2001|USA_NC|1-4-2|L5B	2001	USA	NC	1-4-2	L5B
DQ475506|PRRSV0000948|2001|USA_MN|1-4-2|L5B	2001	USA	MN	1-4-2	L5B
DQ475666|PRRSV0001134|2002|USA_MN|1-4-2|L5B	2002	USA	MN	1-4-2	L5B
DQ476017|PRRSV0001573|2002|USA_MN|1-4-2|L5B	2002	USA	MN	1-4-2	L5B
EU757122|PRRSV0000006494|2002|USA_IA|1-4-2|L5B	2002	USA	IA	1-4-2	L5B
DQ476089|PRRSV0001657|2003|USA_MN|1-3-2|L5B	2003	USA	MN	1-3-2	L5B
DQ476586|PRRSV0002301|2003|USA_MN|1-4-2|L5B	2003	USA	MN	1-4-2	L5B
OR293775|USA/IA/10113/2003|2003|USA_IA|1-4-2|L5B	2003	USA	IA	1-4-2	L5B
OR293776|USA/IA/11602/2003|2003|USA_IA|1-4-2|L5B	2003	USA	IA	1-4-2	L5B
OR293777|USA/IA/33051/2003|2003|USA_IA|1-3-2|L5B	2003	USA	IA	1-3-2	L5B
OR293778|USA/IL/33220-D/2003|2003|USA_IL|1-3-2|L5B	2003	USA	IL	1-3-2	L5B
DQ478013|PRRSV0004070|2005|USA_MN|1-4-2|L5B	2005	USA	MN	1-4-2	L5B
KU502291|PRRSV2-USA-CB785-2006|2006|USA|1-4-2|L5B	2006	USA		1-4-2	L5B
EU755456|PRRSV0000000701|2000|USA_NE|1-3-4|L6	2000	USA	NE	1-3-4	L6
KU503067|PRRSV2-USA-LS1611-2003|2003|USA|1-3-4|L6	2003	USA		1-3-4	L6
OR293779|USA/IA/10138/2003|2003|USA_IA|1-3-4|L6	2003	USA	IA	1-3-4	L6
DQ477134|PRRSV0002965|2004|USA_NE|1-3-3|L6	2004	USA	NE	1-3-3	L6
DQ477211|PRRSV0003073|2004|USA|1-X-4|L6	2004	USA		1-X-4	L6
EU756212|PRRSV0000005231|2005|USA_NE|1-3-4|L6	2005	USA	NE	1-3-4	L6
EU756315|PRRSV0000005337|2005|USA_NE|1-3-4|L6	2005	USA	NE	1-3-4	L6
EU758174|PRRSV0000007993|2005|USA_NE|1-3-4|L6	2005	USA	NE	1-3-4	L6
OR293780|USA/IA/31789/2005|2005|USA_IA|1-3-4|L6	2005	USA	IA	1-3-4	L6
OR293781|USA/IA/25541-16/2005|2005|USA_IA|1-3-4|L6	2005	USA	IA	1-3-4	L6
EU756419|PRRSV0000005441|2006|USA_NE|1-3-2|L6	2006	USA	NE	1-3-2	L6
EU756545|PRRSV0000005533|2006|USA_NE|1-3-4|L6	2006	USA	NE	1-3-4	L6
EU758602|PRRSV0000008561|2006|USA_IA|1-3-4|L6	2006	USA	IA	1-3-4	L6
EU758748|PRRSV0000008732|2006|USA_IA|1-3-4|L6	2006	USA	IA	1-3-4	L6
EU758800|PRRSV0000008793|2006|USA_IA|1-3-4|L6	2006	USA	IA	1-3-4	L6
EU758897|PRRSV0000008919|2007|USA_MN|1-3-4|L6	2007	USA	MN	1-3-4	L6
EU759249|PRRSV2000000081|2007|USA_MN|1-1-4|L6	2007	USA	MN	1-1-4	L6
OR293782|USA/IA/307/2007|2007|USA_IA|1-3-2|L6	2007	USA	IA	1-3-2	L6
OR293783|USA/IA/1474-B/2007|2007|USA_IA|1-3-4|L6	2007	USA	IA	1-3-4	L6
OR293784|USA/NE/51647-7/2007|2007|USA_NE|1-3-2|L6	2007	USA	NE	1-3-2	L6
KU504101|PRRSV2-USA-NP304-2008|2008|USA|1-3-4|L6	2008	USA		1-3-4	L6
OR293785|USA/IA/14632/2008|2008|USA_IA|1-3-4|L6	2008	USA	IA	1-3-4	L6
KU503734|PRRSV2-USA-LS800-2010|2010|USA|1-3-4|L6	2010	USA		1-3-4	L6
KU504079|PRRSV2-USA-NP281-2010|2010|USA|1-3-4|L6	2010	USA		1-3-4	L6
OR293786|USA/KS/10092-4/2010|2010|USA_KS|1-3-4|L6	2010	USA	KS	1-3-4	L6
KU501969|PRRSV2-USA-CB403-2011|2011|USA|1-3-2|L6	2011	USA		1-3-2	L6
KU503736|PRRSV2-USA-LS802-2011|2011|USA|1-3-4|L6	2011	USA		1-3-4	L6
OR293787|USA/KS/17387-11/2012|2012|USA_KS|1-3-4|L6	2012	USA	KS	1-3-4	L6
OR293788|USA/NE/56268-2/2012|2012|USA_NE|1-1-4|L6	2012	USA	NE	1-1-4	L6
OR293789|USA/NE/6151-1/2013|2013|USA_NE|1-3-4|L6	2013	USA	NE	1-3-4	L6
OR293790|USA/KS/8301-9/2013|2013|USA_KS|1-3-4|L6	2013	USA	KS	1-3-4	L6
DQ475106|PRRSV0000445|2000|USA_OH|1-4-4|L7	2000	USA	OH	1-4-4	L7
DQ475113|PRRSV0000454|2000|USA_NE|1-4-3|L7	2000	USA	NE	1-4-3	L7
DQ475116|PRRSV0000458|2000|USA_MN|1-4-4|L7	2000	USA	MN	1-4-4	L7
DQ477901|PRRSV0003910|2000|USA|1-4-4|L7	2000	USA		1-4-4	L7
DQ476903|PRRSV0002684|2004|USA_MN|1-4-4|L7	2004	USA	MN	1-4-4	L7
OR293791|USA/IA/70014-GD/2014|2014|USA_IA|1-4-4|L7	2014	USA	IA	1-4-4	L7
OR293792|USA/NE/70499-GB/2014|2014|USA_NE|1-4-4|L7	2014	USA	NE	1-4-4	L7
OR293793|USA/NE/70499-GO/2014|2014|USA_NE|1-4-4|L7	2014	USA	NE	1-4-4	L7
OR293794|USA/IA/5222-GC/2015|2015|USA_IA|1-4-4|L7	2015	USA	IA	1-4-4	L7
OR293795|USA/IA/36073-1/2015|2015|USA_IA|1-4-4|L7	2015	USA	IA	1-4-4	L7
OR293796|USA/IN/61190-1/2015|2015|USA_IN|1-4-4|L7	2015	USA	IN	1-4-4	L7
OR293797|USA/OH/78350-1/2015|2015|USA_OH|1-4-4|L7	2015	USA	OH	1-4-4	L7
MN500029|14386|2017|USA|1-4-4|L7	2017	USA		1-4-4	L7
MN500032|14434|2017|USA|1-4-4|L7	2017	USA		1-4-4	L7
MN500034|14436|2017|USA|1-4-4|L7	2017	USA		1-4-4	L7
MN500036|14388|2017|USA|1-4-4|L7	2017	USA		1-4-4	L7
OR293798|USA/IL/6330-GB/2017|2017|USA_IL|1-4-4|L7	2017	USA	IL	1-4-4	L7
OR293799|USA/MN/78796-A/2017|2017|USA_MN|1-3-4|L7	2017	USA	MN	1-3-4	L7
OR293800|USA/IA/83749-GC/2017|2017|USA_IA|1-4-4|L7	2017	USA	IA	1-4-4	L7
OR293801|USA/IA/83749-GI/2017|2017|USA_IA|1-4-4|L7	2017	USA	IA	1-4-4	L7
OR293802|USA/VA/86486-GG/2017|2017|USA_VA|1-4-4|L7	2017	USA	VA	1-4-4	L7
OR293803|USA/MN/11065-53/2018|2018|USA_MN|1-4-4|L7	2018	USA	MN	1-4-4	L7
OR293804|USA/IA/55460-GB/2018|2018|USA_IA|1-4-4|L7	2018	USA	IA	1-4-4	L7
OR293805|USA/IL/62497-2/2018|2018|USA_IL|1-4-4|L7	2018	USA	IL	1-4-4	L7
OR293806|USA/IA/70037-9/2018|2018|USA_IA|1-4-4|L7	2018	USA	IA	1-4-4	L7
OR293807|USA/IA/70058-14/2018|2018|USA_IA|1-4-4|L7	2018	USA	IA	1-4-4	L7
OR293808|USA/IL/71722-1/2018|2018|USA_IL|1-4-4|L7	2018	USA	IL	1-4-4	L7
OR293809|USA/IL/842-GD/2019|2019|USA_IL|1-4-4|L7	2019	USA	IL	1-4-4	L7
OR293810|USA/MN/7453-19/2019|2019|USA_MN|1-4-4|L7	2019	USA	MN	1-4-4	L7
OR293811|USA/MN/11136-19/2019|2019|USA_MN|1-4-4|L7	2019	USA	MN	1-4-4	L7
OR293812|USA/IL/17066-2/2019|2019|USA_IL|1-4-4|L7	2019	USA	IL	1-4-4	L7
OR293813|USA/IA/16893-GA/2020|2020|USA_IA|1-4-4|L7	2020	USA	IA	1-4-4	L7
OR293814|USA/MI/51893-5/2020|2020|USA_MI|1-4-4|L7	2020	USA	MI	1-4-4	L7
OR293815|USA/IA/54927-15/2020|2020|USA_IA|1-4-4|L7	2020	USA	IA	1-4-4	L7
OR293816|USA/IL/58740-1/2020|2020|USA_IL|1-4-4|L7	2020	USA	IL	1-4-4	L7
OR293817|USA/MI/75378-32/2020|2020|USA_MI|1-4-4|L7	2020	USA	MI	1-4-4	L7
OR293818|USA/IA/78801-1/2020|2020|USA_IA|1-4-4|L7	2020	USA	IA	1-4-4	L7
OR293819|USA/MI/61883-11/2021|2021|USA_MI|1-4-4|L7	2021	USA	MI	1-4-4	L7
OR293820|USA/IL/65547-17/2021|2021|USA_IL|1-4-4|L7	2021	USA	IL	1-4-4	L7
OR293821|USA/IA/105283-1/2021|2021|USA_IA|1-4-4|L7	2021	USA	IA	1-4-4	L7
AF066384|PrimePac PRRS vaccine|N/A|null|1-4-4|L7	N/A	null		1-4-4	L7
EU755424|PRRSV0000000443|2000|USA|1-4-2|L8A	2000	USA		1-4-2	L8A
KU502756|PRRSV2-USA-LS1278-2003|2003|USA|1-4-2|L8A	2003	USA		1-4-2	L8A
EU756084|PRRSV0000004580|2004|USA|1-4-2|L8A	2004	USA		1-4-2	L8A
KU502424|PRRSV2-USA-CB929-2005|2005|USA|1-4-2|L8A	2005	USA		1-4-2	L8A
OR293822|USA/IA/30413/2005|2005|USA_IA|1-4-2|L8A	2005	USA	IA	1-4-2	L8A
OR293823|USA/IA/3706-2/2005|2005|USA_IA|1-4-2|L8A	2005	USA	IA	1-4-2	L8A
OR293824|USA/IA/33210/2006|2006|USA_IA|1-4-2|L8A	2006	USA	IA	1-4-2	L8A
OR293825|USA/IA/8307/2007|2007|USA_IA|1-4-2|L8A	2007	USA	IA	1-4-2	L8A
OR293826|USA/IA/27802/2007|2007|USA_IA|1-4-4|L8A	2007	USA	IA	1-4-4	L8A
OR293827|USA/IA/44431/2007|2007|USA_IA|1-4-4|L8A	2007	USA	IA	1-4-4	L8A
OR293828|USA/IA/23116-A/2007|2007|USA_IA|1-4-2|L8A	2007	USA	IA	1-4-2	L8A
OR293829|USA/IA/27052-A/2007|2007|USA_IA|1-4-2|L8A	2007	USA	IA	1-4-2	L8A
KT902040|PRRSV2-USA-AP2911-2008|2008|USA|1-4-4|L8A	2008	USA		1-4-4	L8A
MN501488|10003|2009|USA|1-4-2|L8A	2009	USA		1-4-2	L8A
MN501779|10085|2009|USA|1-4-2|L8A	2009	USA		1-4-2	L8A
OR293830|USA/IA/29021/2009|2009|USA_IA|1-4-2|L8A	2009	USA	IA	1-4-2	L8A
OR293831|USA/IA/34988-C/2009|2009|USA_IA|1-4-2|L8A	2009	USA	IA	1-4-2	L8A
OR293832|USA/IA/33501-13/2010|2010|USA_IA|1-4-6|L8A	2010	USA	IA	1-4-6	L8A
KU501876|PRRSV2-USA-CB1112-2011|2011|USA|1-4-2|L8A	2011	USA		1-4-2	L8A
OR293833|USA/IA/11392-34/2011|2011|USA_IA|1-4-2|L8A	2011	USA	IA	1-4-2	L8A
OR293834|USA/IA/18676-5/2011|2011|USA_IA|1-4-2|L8A	2011	USA	IA	1-4-2	L8A
OR293835|USA/IA/28700-4/2011|2011|USA_IA|1-4-2|L8A	2011	USA	IA	1-4-2	L8A
OR293836|USA/IA/38836-31/2011|2011|USA_IA|1-4-2|L8A	2011	USA	IA	1-4-2	L8A
KU502497|PRRSV2-USA-LS1010-2012|2012|USA|1-4-2|L8A	2012	USA		1-4-2	L8A
KU502705|PRRSV2-USA-LS1231-2012|2012|USA|1-4-2|L8A	2012	USA		1-4-2	L8A
KU503918|PRRSV2-USA-LS998-2012|2012|USA|1-4-2|L8A	2012	USA		1-4-2	L8A
OR293837|USA/IA/9573-36/2012|2012|USA_IA|1-4-2|L8A	2012	USA	IA	1-4-2	L8A
KU503911|PRRSV2-USA-LS991-2014|2014|USA|1-4-2|L8A	2014	USA		1-4-2	L8A
OR293838|USA/MN/1855/2014|2014|USA_MN|1-4-2|L8A	2014	USA	MN	1-4-2	L8A
OR293839|USA/IA/78972-A/2015|2015|USA_IA|1-4-2|L8A	2015	USA	IA	1-4-2	L8A
OR293840|USA/IA/42385-3/2017|2017|USA_IA|1-4-2|L8A	2017	USA	IA	1-4-2	L8A
OR293841|USA/IA/75702-1/2017|2017|USA_IA|1-4-2|L8A	2017	USA	IA	1-4-2	L8A
OR293842|USA/CO/7515-5/2021|2021|USA_CO|1-4-2|L8A	2021	USA	CO	1-4-2	L8A
OR293843|USA/MO/57338-3/2021|2021|USA_MO|1-4-2|L8A	2021	USA	MO	1-4-2	L8A
AY656991|Ingelvac ATP|N/A|null|1-4-2|L8A	N/A	null		1-4-2	L8A
DQ477813|PRRSV0003806|2000|USA|1-4-2|L8B	2000	USA		1-4-2	L8B
EU757312|PRRSV0000006703|2003|USA_OK|1-2-4|L8B	2003	USA	OK	1-2-4	L8B
EU757527|PRRSV0000006968|2003|USA_OK|1-2-4|L8B	2003	USA	OK	1-2-4	L8B
DQ474885|PRRSV0000149|2004|USA|1-2-1|L8B	2004	USA		1-2-1	L8B
DQ476682|PRRSV0002412|2004|USA_OK|1-4-4|L8B	2004	USA	OK	1-4-4	L8B
DQ476945|PRRSV0002736|2004|USA_OK|1-4-4|L8B	2004	USA	OK	1-4-4	L8B
DQ478195|PRRSV0004307|2005|USA_MN|1-2-4|L8B	2005	USA	MN	1-2-4	L8B
DQ478393|PRRSV0004544|2005|USA_OK|1-3-2|L8B	2005	USA	OK	1-3-2	L8B
EU756308|PRRSV0000005330|2005|USA_OK|1-2-4|L8B	2005	USA	OK	1-2-4	L8B
EU757933|PRRSV0000007618|2005|USA_MN|1-2-4|L8B	2005	USA	MN	1-2-4	L8B
EU756499|PRRSV0000005487|2006|USA_WI|1-3-4|L8B	2006	USA	WI	1-3-4	L8B
OR293844|USA/IA/5438-B/2006|2006|USA_IA|1-2-1|L8B	2006	USA	IA	1-2-1	L8B
OR293845|USA/OK/33231-3/2006|2006|USA_OK|1-2-4|L8B	2006	USA	OK	1-2-4	L8B
OR293846|USA/IA/33925-B/2006|2006|USA_IA|1-2-4|L8B	2006	USA	IA	1-2-4	L8B
EU759556|PRRSV2000000393|2007|USA_OK|1-3-4|L8B	2007	USA	OK	1-3-4	L8B
OR293847|USA/OK/10232-C/2007|2007|USA_OK|1-3-4|L8B	2007	USA	OK	1-3-4	L8B
OR293848|USA/TX/30149/2008|2008|USA_TX|1-17-4|L8B	2008	USA	TX	1-17-4	L8B
OR293849|USA/OK/5505-3/2008|2008|USA_OK|1-6-4|L8B	2008	USA	OK	1-6-4	L8B
OR293850|USA/OK/10065-3/2008|2008|USA_OK|1-17-4|L8B	2008	USA	OK	1-17-4	L8B
OR293851|USA/IA/358-A/2009|2009|USA_IA|1-17-4|L8B	2009	USA	IA	1-17-4	L8B
OR293852|USA/TX/23621-G/2009|2009|USA_TX|1-2-4|L8B	2009	USA	TX	1-2-4	L8B
OR293853|USA/OK/34630/2010|2010|USA_OK|1-2-4|L8B	2010	USA	OK	1-2-4	L8B
OR293854|USA/IA/1657-3/2010|2010|USA_IA|1-4-4|L8B	2010	USA	IA	1-4-4	L8B
OR293855|USA/OK/2382-8/2010|2010|USA_OK|1-3-4|L8B	2010	USA	OK	1-3-4	L8B
OR293856|USA/OK/13022-F/2010|2010|USA_OK|1-2-8|L8B	2010	USA	OK	1-2-8	L8B
OR293857|USA/OK/17669-E/2010|2010|USA_OK|1-2-8|L8B	2010	USA	OK	1-2-8	L8B
OR293858|USA/TX/19805-B/2010|2010|USA_TX|1-1-4|L8B	2010	USA	TX	1-1-4	L8B
OR293859|USA/OK/26549-C/2010|2010|USA_OK|1-3-4|L8B	2010	USA	OK	1-3-4	L8B
OR293860|USA/IA/36241-1/2010|2010|USA_IA|1-4-4|L8B	2010	USA	IA	1-4-4	L8B
OR293861|USA/IA/27619/2011|2011|USA_IA|1-3-4|L8B	2011	USA	IA	1-3-4	L8B
OR293862|USA/OK/7047-8/2011|2011|USA_OK|1-2-4|L8B	2011	USA	OK	1-2-4	L8B
OR293863|USA/IA/36043-C/2011|2011|USA_IA|1-3-4|L8B	2011	USA	IA	1-3-4	L8B
OR293864|USA/NE/11374/2012|2012|USA_NE|1-3-2|L8B	2012	USA	NE	1-3-2	L8B
OR293865|USA/IA/5974-1/2012|2012|USA_IA|1-2-4|L8B	2012	USA	IA	1-2-4	L8B
OR293866|USA/IA/5974-6/2012|2012|USA_IA|1-2-4|L8B	2012	USA	IA	1-2-4	L8B
OR293867|USA/IA/17211-B/2013|2013|USA_IA|1-6-3|L8B	2013	USA	IA	1-6-3	L8B
